Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
64,56.4600304,-2.97415715,200,0,0,0,0,344.0621736,-2.968479968,56.45992007,0
65,56.45673973,-2.975616695,199,0,0,0,0,473.4300749,-2.968479968,56.45992007,0
66,56.45923198,-2.976787667,200,0,0,0,0,505.1117122,-2.968479968,56.45992007,0
67,56.45811984,-2.97093773,213,0,0,0,0,184.5990245,-2.968479968,56.45992007,0
68,56.46174928,-2.966199145,214,0,0,0,0,177.1570859,-2.968479968,56.45992007,0
69,56.46390751,-2.867052409,382,0,0,0,0,6150.543043,-2.968479968,56.45992007,0
70,56.45761677,-2.976638059,199,0,0,0,0,513.646872,-2.968479968,56.45992007,0
71,56.4581745,-2.976867657,199,0,0,0,0,519.1240728,-2.968479968,56.45992007,0
72,56.45830006,-2.976718108,199,0,0,0,0,508.733274,-2.968479968,56.45992007,0
73,56.46683977,-2.876607432,355,0,0,0,0,5582.596171,-2.968479968,56.45992007,0
74,56.46180305,-2.9631257,228,0,0,0,0,343.9086717,-2.968479968,56.45992007,0
75,56.46451367,-2.982455162,201,0,0,0,0,891.3699484,-2.968479968,56.45992007,0
76,56.48232284,-2.996876357,176,0,0,0,0,2191.622151,-2.968479968,56.45992007,0
77,56.46474489,-2.967407843,215,0,0,0,0,299.480871,-2.968479968,56.45992007,0
78,56.46431627,-2.965391242,215,0,0,0,0,325.5528249,-2.968479968,56.45992007,0
79,56.4564771,-2.986433235,185,0,0,0,0,1107.664808,-2.968479968,56.45992007,0
80,56.45787048,-2.984902656,185,0,0,0,0,1002.818898,-2.968479968,56.45992007,0
82,56.45637891,-2.968940991,213,0,0,0,0,216.3801442,-2.968479968,56.45992007,0
83,56.46418289,-3.035210515,117,0,0,0,0,4051.642817,-2.968479968,56.45992007,0
87,56.46439172,-3.034929033,117,0,0,0,0,4035.451675,-2.968479968,56.45992007,0
91,56.45677552,-2.974451491,199,0,0,0,0,408.9341368,-2.968479968,56.45992007,0
92,56.47521586,-2.974943091,203,0,0,0,0,1006.159004,-2.968479968,56.45992007,0
93,56.47310461,-2.966592339,216,0,0,0,0,807.0363685,-2.968479968,56.45992007,0
94,56.4538663,-2.976018677,199,0,0,0,0,585.8441628,-2.968479968,56.45992007,0
95,56.45140989,-3.000219467,156,0,0,0,0,1991.120811,-2.968479968,56.45992007,0
96,56.45371751,-3.021831601,129,0,0,0,0,3254.506534,-2.968479968,56.45992007,0
97,56.45200207,-2.985352624,184,0,0,0,0,1129.341586,-2.968479968,56.45992007,0
98,56.452685,-2.981770339,198,0,0,0,0,916.8981616,-2.968479968,56.45992007,0
99,56.46069765,-2.959634711,228,0,0,0,0,538.0272591,-2.968479968,56.45992007,0
100,56.46385877,-2.957643033,229,0,0,0,0,698.6673177,-2.968479968,56.45992007,0
101,56.46258088,-2.960062063,228,0,0,0,0,534.9401935,-2.968479968,56.45992007,0
102,56.46205625,-2.963855447,228,0,0,0,0,308.6642319,-2.968479968,56.45992007,0
103,56.45945739,-2.981245957,200,0,0,0,0,774.0368661,-2.968479968,56.45992007,0
104,56.45971874,-2.98107131,200,0,0,0,0,763.0441364,-2.968479968,56.45992007,0
106,56.48521288,-2.951854988,247,0,0,0,0,1833.991919,-2.968479968,56.45992007,0
107,56.48689019,-2.959574757,233,0,0,0,0,1720.978772,-2.968479968,56.45992007,0
108,56.48431409,-2.948853229,247,0,0,0,0,1897.1277,-2.968479968,56.45992007,0
109,56.47393235,-2.969111272,217,0,0,0,0,849.9067101,-2.968479968,56.45992007,0
110,56.473567,-2.968935445,217,0,0,0,0,827.368238,-2.968479968,56.45992007,0
111,56.49430465,-2.9484789,249,0,0,0,0,2410.306787,-2.968479968,56.45992007,0
112,56.49000352,-2.960097102,234,0,0,0,0,1892.292293,-2.968479968,56.45992007,0
114,56.4881451,-2.894975333,331,0,0,0,0,4770.933944,-2.968479968,56.45992007,0
116,56.49719989,-2.924385445,291,0,0,0,0,3498.74449,-2.968479968,56.45992007,0
117,56.45449182,-3.040213153,101,0,0,0,0,4358.952846,-2.968479968,56.45992007,0
118,56.45523643,-2.972668127,213,0,0,0,0,380.7107106,-2.968479968,56.45992007,0
119,56.45633937,-2.977054606,199,0,0,0,0,563.0446243,-2.968479968,56.45992007,0
120,56.45577952,-2.978813826,199,0,0,0,0,674.5516709,-2.968479968,56.45992007,0
121,56.45663116,-2.971941549,213,0,0,0,0,289.3240531,-2.968479968,56.45992007,0
122,56.45613052,-2.976279425,199,0,0,0,0,525.4224011,-2.968479968,56.45992007,0
123,56.45605969,-2.977326431,199,0,0,0,0,584.8474017,-2.968479968,56.45992007,0
124,56.48529286,-2.959431306,233,0,0,0,0,1632.254056,-2.968479968,56.45992007,0
125,56.48034703,-3.000520991,176,0,0,0,0,2302.44288,-2.968479968,56.45992007,0
126,56.47926389,-2.999931679,176,0,0,0,0,2237.343893,-2.968479968,56.45992007,0
127,56.48393211,-2.851985339,400,0,0,0,0,7207.14348,-2.968479968,56.45992007,0
128,56.48188387,-2.857337992,400,0,0,0,0,6864.662434,-2.968479968,56.45992007,0
