Point_ID,geometry,Latitude,Longitude,grid_number,CP_ID,Slow,Fast,Rapid,Total
C37,POINT (-2.977853688047766 56.45681529999306),56.4568152999931,-2.97785368804777,199,51086,,1,,1
C38,POINT (-2.975911138045179 56.46016445999616),56.4601644599962,-2.97591113804518,200,51198,1,,,6
,POINT (-2.975759520045077 56.46011216999609),56.4601121699961,-2.97575952004508,200,51199,1,,,
,POINT (-2.975607749044974 56.46005393999599),56.460053939996,-2.97560774904497,200,51200,1,,,
,POINT (-2.975467169044876 56.46001344999595),56.4600134499959,-2.97546716904488,200,51201,1,,,
,POINT (-2.975326436044779 56.45996700999588),56.4599670099959,-2.97532643604478,200,51202,1,,,
,POINT (-2.976041141045268 56.46021097999622),56.4602109799962,-2.97604114104527,200,51203,1,,,
C39,POINT (-2.981789961050263 56.45878689999545),56.4587868999955,-2.98178996105026,200,50630,,1,,1
C40,POINT (-2.966478267037299 56.46149715999641),56.4614971599964,-2.9664782670373,214,50274,,1,,2
,POINT (-2.966638605037414 56.46154132999645),56.4615413299965,-2.96663860503741,214,50240,,1,,
C41,POINT (-2.962498183033509 56.46355615999799),56.463556159998,-2.96249818303351,228,50675,1,,,3
,POINT (-2.962597036033558 56.46364453999808),56.4636445399981,-2.96259703603356,228,50676,1,,,
,POINT (-2.962685758033592 56.46375675999818),56.4637567599982,-2.96268575803359,228,50677,1,,,
C42,POINT (-2.892494956971288 56.48588707001203),56.485887070012,-2.89249495697129,345,51241,,1,,1
C43,POINT (-2.873580032962127 56.46779036999209),56.4677903699921,-2.87358003296213,369,50911,,,1,2
,POINT (-2.873360868961959 56.46777531999206),56.4677753199921,-2.87336086896196,369,51087,,1,,
